epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,564.797,1.65929,2.7599,1.52366,0.65452,0.20483,0.18756,0.09561,1.75279,2.46375,1.59317,0.000300881,0.000300881,0.000300881
2,2952.88,1.61854,1.98516,1.47461,0.70153,0.20775,0.2091,0.1007,1.80621,2.27803,1.59765,0.000591924,0.000591924,0.000591924
3,3486.42,1.62508,1.89769,1.46989,0.70247,0.21225,0.24528,0.11756,1.80028,2.09656,1.59761,0.000870969,0.000870969,0.000870969
4,16115.2,1.62709,1.84541,1.47016,0.6218,0.3489,0.3062,0.14501,1.76808,2.195,1.61157,0.000855005,0.000855005,0.000855005
5,16654.6,1.56787,1.75834,1.43204,0.70317,0.22916,0.24067,0.11785,1.74795,2.03978,1.60634,0.000837007,0.000837007,0.000837007
6,18151.1,1.55217,1.69742,1.42183,0.54022,0.29203,0.26115,0.12903,1.78289,2.04168,1.61486,0.000819009,0.000819009,0.000819009
7,19335.1,1.56742,1.69454,1.43407,0.60814,0.23843,0.25078,0.12796,1.78663,2.00699,1.60577,0.000801011,0.000801011,0.000801011
8,19865.5,1.55659,1.6233,1.4065,0.56323,0.30122,0.27947,0.14242,1.75658,1.97738,1.56571,0.000783013,0.000783013,0.000783013
9,20463.3,1.51458,1.59026,1.39472,0.56164,0.28824,0.27979,0.14488,1.764,1.97321,1.6295,0.000765014,0.000765014,0.000765014
10,21014.9,1.52538,1.57203,1.40246,0.65606,0.27846,0.3146,0.14883,1.76123,1.88109,1.58492,0.000747016,0.000747016,0.000747016
11,21593.3,1.51024,1.5326,1.38033,0.63678,0.26206,0.27823,0.14294,1.77938,1.89682,1.61278,0.000729018,0.000729018,0.000729018
12,22065.4,1.48641,1.51051,1.37843,0.62365,0.30046,0.2966,0.14603,1.73354,1.84805,1.57077,0.00071102,0.00071102,0.00071102
13,23137.7,1.47851,1.47966,1.35613,0.52222,0.28429,0.27377,0.13692,1.7334,1.871,1.5718,0.000693022,0.000693022,0.000693022
14,23773.9,1.48183,1.46448,1.35743,0.67838,0.29309,0.32777,0.15315,1.73487,1.82363,1.57172,0.000675023,0.000675023,0.000675023
15,24281.2,1.45316,1.44141,1.35701,0.77979,0.24946,0.31182,0.15481,1.73362,1.7952,1.55639,0.000657025,0.000657025,0.000657025
16,25773.7,1.45987,1.43366,1.34844,0.60816,0.29032,0.30634,0.16082,1.75644,1.84917,1.57878,0.000639027,0.000639027,0.000639027
17,26231.3,1.44702,1.39274,1.34233,0.69503,0.25964,0.30241,0.13695,1.74451,1.83569,1.57383,0.000621029,0.000621029,0.000621029
18,26696,1.43525,1.38023,1.33141,0.60238,0.30648,0.33138,0.16137,1.72681,1.75868,1.55136,0.000603031,0.000603031,0.000603031
19,27129.2,1.4084,1.35434,1.32475,0.73304,0.28924,0.33915,0.164,1.71252,1.80597,1.53956,0.000585032,0.000585032,0.000585032
20,27577.6,1.40618,1.35783,1.3222,0.68476,0.33404,0.35244,0.18315,1.71418,1.7372,1.53791,0.000567034,0.000567034,0.000567034
21,28026.3,1.4131,1.33769,1.32232,0.7144,0.28298,0.36041,0.17238,1.69759,1.73376,1.53944,0.000549036,0.000549036,0.000549036
22,28473.3,1.40409,1.29278,1.30269,0.65309,0.28297,0.30294,0.14828,1.73535,1.82805,1.55573,0.000531038,0.000531038,0.000531038
23,28972,1.39088,1.26583,1.3069,0.58483,0.30885,0.29733,0.15323,1.7353,1.75935,1.54281,0.00051304,0.00051304,0.00051304
24,29478.2,1.37634,1.28033,1.29889,0.66043,0.27904,0.33497,0.16183,1.72878,1.74541,1.55575,0.000495041,0.000495041,0.000495041
25,30015.5,1.37975,1.27113,1.29847,0.73848,0.31136,0.39072,0.20161,1.69443,1.71267,1.52939,0.000477043,0.000477043,0.000477043
26,30472.4,1.3631,1.26921,1.29439,0.75721,0.28996,0.33948,0.18455,1.74795,1.78917,1.56036,0.000459045,0.000459045,0.000459045
27,30895.7,1.35574,1.23785,1.27746,0.67968,0.30129,0.33367,0.18111,1.69145,1.74316,1.52884,0.000441047,0.000441047,0.000441047
28,31320,1.33733,1.2283,1.2748,0.74472,0.27985,0.34564,0.17668,1.70089,1.72857,1.53089,0.000423049,0.000423049,0.000423049
29,31754.8,1.33832,1.19095,1.26849,0.69355,0.3139,0.41657,0.21789,1.72673,1.70154,1.53954,0.00040505,0.00040505,0.00040505
30,32181.9,1.332,1.20606,1.27833,0.55101,0.40463,0.33907,0.1762,1.70894,1.63445,1.50795,0.000387052,0.000387052,0.000387052
31,32607.6,1.32035,1.18844,1.26122,0.6251,0.35143,0.344,0.18192,1.71418,1.6805,1.52491,0.000369054,0.000369054,0.000369054
32,33033.5,1.32439,1.17386,1.26145,0.68745,0.34028,0.36773,0.1868,1.70104,1.68249,1.53225,0.000351056,0.000351056,0.000351056
33,33460.7,1.31483,1.17568,1.25385,0.68776,0.33882,0.36927,0.19244,1.73182,1.73251,1.55426,0.000333058,0.000333058,0.000333058
34,33896.9,1.29546,1.13391,1.23731,0.69227,0.36635,0.38896,0.20836,1.6992,1.65782,1.53371,0.000315059,0.000315059,0.000315059
35,34332.8,1.28996,1.11657,1.23517,0.66277,0.31733,0.36634,0.19319,1.73543,1.75484,1.55394,0.000297061,0.000297061,0.000297061
36,34766.9,1.28172,1.12354,1.23568,0.72134,0.30202,0.37042,0.19283,1.70366,1.67566,1.53059,0.000279063,0.000279063,0.000279063
37,35204.7,1.27732,1.08809,1.2277,0.73679,0.29854,0.372,0.19601,1.7223,1.68886,1.54815,0.000261065,0.000261065,0.000261065
38,35644.4,1.27349,1.096,1.22535,0.66504,0.28373,0.31568,0.16455,1.71787,1.70512,1.54288,0.000243067,0.000243067,0.000243067
39,36083.6,1.27362,1.09302,1.22064,0.69386,0.30357,0.38339,0.21123,1.69267,1.64153,1.51647,0.000225068,0.000225068,0.000225068
40,36545.9,1.25095,1.07847,1.2152,0.40951,0.47941,0.38733,0.19185,1.72359,1.68471,1.54898,0.00020707,0.00020707,0.00020707
41,36980.7,1.27925,1.09275,1.22132,0.63742,0.34351,0.37545,0.20298,1.71679,1.67253,1.55037,0.000189072,0.000189072,0.000189072
42,37412.7,1.25489,1.05144,1.21344,0.63889,0.38326,0.3674,0.19481,1.71841,1.68811,1.55038,0.000171074,0.000171074,0.000171074
43,37866.4,1.24104,1.02623,1.19958,0.63003,0.3725,0.37505,0.20388,1.71041,1.67288,1.53993,0.000153076,0.000153076,0.000153076
44,38350,1.238,0.99439,1.19435,0.78763,0.29556,0.39916,0.20874,1.71199,1.66186,1.54396,0.000135077,0.000135077,0.000135077
45,38847.2,1.23065,1.00653,1.19707,0.62772,0.37828,0.37733,0.20197,1.71788,1.67731,1.55038,0.000117079,0.000117079,0.000117079
46,39337.1,1.21114,0.97847,1.18062,0.75845,0.3086,0.37414,0.20338,1.72915,1.69018,1.5593,9.9081e-05,9.9081e-05,9.9081e-05
47,39824.8,1.2025,0.97306,1.17003,0.73828,0.315,0.38061,0.20735,1.71757,1.68116,1.55179,8.10828e-05,8.10828e-05,8.10828e-05
