epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3180.9,1.77887,2.1779,1.70005,0.27034,0.28916,0.20601,0.08895,2.12299,3.16184,1.92221,0.000547949,0.000547949,0.000547949
2,5447.71,1.77638,1.77539,1.71425,0.2549,0.27521,0.17847,0.071,2.24713,4.77188,2.20343,0.00109258,0.00109258,0.00109258
3,7639.83,1.81062,1.76545,1.72757,0.36166,0.27249,0.22871,0.08638,2.30294,2.88869,2.1011,0.0016261,0.0016261,0.0016261
4,9836.92,1.78224,1.68477,1.69148,0.32982,0.30514,0.23548,0.07934,2.48363,3.07759,2.33692,0.001617,0.001617,0.001617
5,12055.7,1.76899,1.65333,1.68059,0.40827,0.25836,0.24622,0.08882,2.35282,2.7731,2.12461,0.00160033,0.00160033,0.00160033
6,14237.5,1.73298,1.57777,1.64418,0.4508,0.30182,0.28132,0.11517,2.15362,2.66998,1.98383,0.00158366,0.00158366,0.00158366
7,16499,1.70255,1.55928,1.63363,0.34931,0.28521,0.24076,0.09489,2.28004,2.6355,2.05693,0.00156699,0.00156699,0.00156699
8,18694.2,1.66838,1.52797,1.60145,0.40238,0.30176,0.25927,0.09158,2.46093,2.47422,2.14803,0.00155032,0.00155032,0.00155032
9,20778.3,1.65846,1.49217,1.59397,0.47023,0.34465,0.32436,0.13349,2.22548,2.31518,2.003,0.00153365,0.00153365,0.00153365
10,22258.9,1.60749,1.42104,1.56157,0.47597,0.34322,0.33093,0.12788,2.19365,2.32832,1.9705,0.00151699,0.00151699,0.00151699
11,23749.8,1.60913,1.40466,1.56542,0.43646,0.35363,0.31227,0.13217,2.18077,2.43241,1.9983,0.00150032,0.00150032,0.00150032
12,25295.6,1.57501,1.40281,1.55179,0.48904,0.30673,0.31476,0.12818,2.20749,2.29793,2.04965,0.00148365,0.00148365,0.00148365
13,26890.3,1.5631,1.34777,1.52926,0.37982,0.28136,0.26856,0.11122,2.25555,2.48218,2.04171,0.00146698,0.00146698,0.00146698
14,32323.8,1.56826,1.35711,1.5272,0.48829,0.30689,0.30486,0.12517,2.19527,2.37855,1.99565,0.00145031,0.00145031,0.00145031
15,34098.2,1.53427,1.31936,1.49647,0.41671,0.32654,0.31193,0.12932,2.19245,2.28126,1.98805,0.00143364,0.00143364,0.00143364
16,35813.2,1.54397,1.31612,1.51696,0.45157,0.33162,0.30539,0.12673,2.11476,2.32439,1.96757,0.00141698,0.00141698,0.00141698
17,37514.8,1.50963,1.27145,1.48914,0.50956,0.33829,0.33124,0.1356,2.17888,2.24891,1.96349,0.00140031,0.00140031,0.00140031
18,39237.7,1.47895,1.22338,1.46391,0.52988,0.34527,0.34994,0.13785,2.20473,2.09102,1.98751,0.00138364,0.00138364,0.00138364
19,40928.8,1.47679,1.22919,1.46357,0.47537,0.326,0.33686,0.14139,2.1422,2.32446,1.94211,0.00136697,0.00136697,0.00136697
20,42660.3,1.45059,1.201,1.45176,0.45047,0.3697,0.34753,0.15014,2.10908,2.19522,1.90978,0.0013503,0.0013503,0.0013503
21,45207.6,1.44049,1.20112,1.44326,0.50148,0.35529,0.35264,0.14012,2.16964,2.15048,1.93779,0.00133363,0.00133363,0.00133363
22,46884.1,1.44239,1.16594,1.42723,0.47137,0.38032,0.3684,0.14802,2.16124,2.08962,1.9374,0.00131697,0.00131697,0.00131697
23,52107.1,1.43928,1.15309,1.4361,0.48866,0.36923,0.35745,0.13774,2.24244,2.09429,2.00354,0.0013003,0.0013003,0.0013003
24,54791.1,1.4369,1.16988,1.43199,0.47438,0.30733,0.30709,0.12643,2.1647,2.30639,1.92803,0.00128363,0.00128363,0.00128363
25,56260,1.3883,1.14215,1.40692,0.5005,0.36264,0.37702,0.15484,2.19928,2.04857,1.98791,0.00126696,0.00126696,0.00126696
26,57884.6,1.36161,1.11865,1.39444,0.48303,0.38268,0.36849,0.16127,2.08433,2.08338,1.90584,0.00125029,0.00125029,0.00125029
