epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3074.46,1.77662,2.47773,1.65331,0.25564,0.23521,0.17572,0.06863,2.0104,2.80576,1.94246,0.000551781,0.000551781,0.000551781
2,3797.23,1.73718,2.02697,1.62158,0.42298,0.27297,0.27026,0.10403,2.12241,2.58562,1.96113,0.0010853,0.0010853,0.0010853
3,4266.94,1.76549,1.96537,1.64822,0.37683,0.30392,0.24466,0.09661,2.19754,2.5522,2.02973,0.0015966,0.0015966,0.0015966
4,4741.99,1.76589,1.86858,1.62693,0.47119,0.31979,0.32123,0.13271,2.03784,2.46419,1.85362,0.00156699,0.00156699,0.00156699
5,5214.05,1.72835,1.80692,1.60102,0.38389,0.33286,0.26605,0.10158,2.09067,2.36969,1.93479,0.00153365,0.00153365,0.00153365
6,5718.05,1.69543,1.74493,1.56012,0.4408,0.32991,0.30421,0.12543,2.07392,2.36562,1.88482,0.00150032,0.00150032,0.00150032
7,6195.47,1.70139,1.7634,1.59649,0.49331,0.33503,0.34176,0.1418,2.07984,2.21514,1.86667,0.00146698,0.00146698,0.00146698
8,6672.62,1.69359,1.71973,1.57547,0.47562,0.34575,0.34231,0.12435,2.17686,2.18247,1.9345,0.00143364,0.00143364,0.00143364
9,7143.85,1.66901,1.66372,1.55329,0.54195,0.35376,0.36383,0.15444,2.04378,2.17101,1.84865,0.00140031,0.00140031,0.00140031
10,7623.18,1.6715,1.65523,1.56127,0.50029,0.34301,0.34501,0.13905,2.107,2.20802,1.88522,0.00136697,0.00136697,0.00136697
11,8106.47,1.66675,1.61686,1.52874,0.53025,0.35344,0.3713,0.15495,2.07893,2.1023,1.89054,0.00133363,0.00133363,0.00133363
12,8588.57,1.63763,1.60733,1.53998,0.50799,0.3416,0.35118,0.14788,2.03081,2.15719,1.83056,0.0013003,0.0013003,0.0013003
13,9080.8,1.6486,1.59053,1.52639,0.55839,0.39293,0.40892,0.17838,1.94479,1.99481,1.8039,0.00126696,0.00126696,0.00126696
14,9723.7,1.61824,1.59827,1.52608,0.52559,0.37114,0.38026,0.1678,2.00625,2.10401,1.84277,0.00123362,0.00123362,0.00123362
15,10222.8,1.61958,1.56023,1.52365,0.55161,0.40009,0.41087,0.17518,2.07074,1.95631,1.83416,0.00120029,0.00120029,0.00120029
16,10712.3,1.61323,1.57662,1.50769,0.58467,0.3407,0.37625,0.15835,2.04281,2.09601,1.85007,0.00116695,0.00116695,0.00116695
17,11159,1.59403,1.532,1.50631,0.50897,0.36573,0.38333,0.16201,2.02213,2.0886,1.82809,0.00113361,0.00113361,0.00113361
18,11607.7,1.59093,1.52456,1.48671,0.547,0.36166,0.38047,0.15943,2.04179,2.08178,1.83455,0.00110028,0.00110028,0.00110028
19,12185,1.57702,1.48461,1.48444,0.5244,0.41234,0.41963,0.19027,1.91955,1.91892,1.73621,0.00106694,0.00106694,0.00106694
20,12651.2,1.55049,1.46475,1.46096,0.5578,0.38809,0.40952,0.18837,1.94126,1.9558,1.75251,0.0010336,0.0010336,0.0010336
21,13119.6,1.58287,1.46609,1.48542,0.55742,0.38481,0.40488,0.18331,1.94553,1.9575,1.72638,0.00100027,0.00100027,0.00100027
22,13592.1,1.55727,1.45192,1.46463,0.52795,0.39678,0.38642,0.16582,2.00271,2.01067,1.80772,0.00096693,0.00096693,0.00096693
23,14092,1.54345,1.43083,1.46407,0.52842,0.36302,0.37999,0.15572,2.10439,2.15801,1.86315,0.000933593,0.000933593,0.000933593
24,14724.8,1.52588,1.41533,1.44904,0.53079,0.35864,0.37492,0.16151,2.00398,2.08285,1.81184,0.000900257,0.000900257,0.000900257
25,15584.7,1.53345,1.40953,1.45276,0.57007,0.38371,0.41769,0.18474,1.94159,1.937,1.75884,0.00086692,0.00086692,0.00086692
26,16366.1,1.51487,1.43885,1.46126,0.47477,0.34952,0.36067,0.15735,2.01127,2.12762,1.80642,0.000833583,0.000833583,0.000833583
27,17245.9,1.52524,1.41272,1.44187,0.57494,0.38092,0.40603,0.18424,1.95861,1.99246,1.75419,0.000800247,0.000800247,0.000800247
28,18934,1.50856,1.38069,1.44643,0.58253,0.38881,0.41856,0.19509,1.89745,1.93991,1.70038,0.00076691,0.00076691,0.00076691
29,19698,1.49629,1.35709,1.42614,0.55486,0.41623,0.43083,0.19743,1.93035,1.90213,1.74578,0.000733573,0.000733573,0.000733573
30,20441.8,1.51007,1.37371,1.44304,0.55739,0.42443,0.4404,0.20557,1.91578,1.89941,1.71379,0.000700237,0.000700237,0.000700237
31,21183.7,1.48648,1.36191,1.43167,0.55769,0.40599,0.43513,0.19975,1.91084,1.8737,1.7134,0.0006669,0.0006669,0.0006669
32,21958,1.47513,1.31335,1.42062,0.59979,0.3946,0.41971,0.19234,1.91222,1.96934,1.72664,0.000633563,0.000633563,0.000633563
33,22702.6,1.46578,1.32984,1.41994,0.56531,0.39225,0.42274,0.18744,1.97464,1.97229,1.77442,0.000600227,0.000600227,0.000600227
34,23388.5,1.46021,1.28744,1.40352,0.60528,0.42278,0.45307,0.21529,1.87365,1.83095,1.69965,0.00056689,0.00056689,0.00056689
35,24095.3,1.44222,1.27348,1.38775,0.56344,0.39156,0.42046,0.19051,1.94047,1.92904,1.72742,0.000533553,0.000533553,0.000533553
36,25822.5,1.45865,1.27883,1.39444,0.60043,0.41651,0.44905,0.20882,1.88761,1.86482,1.70593,0.000500217,0.000500217,0.000500217
37,26560.8,1.44227,1.27087,1.38449,0.61329,0.40868,0.45455,0.21479,1.86589,1.83733,1.67046,0.00046688,0.00046688,0.00046688
38,27366.3,1.43722,1.26831,1.37792,0.58769,0.41903,0.44635,0.20768,1.88686,1.85891,1.69825,0.000433543,0.000433543,0.000433543
39,30003.6,1.43641,1.25873,1.3759,0.63979,0.39871,0.44163,0.21078,1.88104,1.86879,1.68331,0.000400207,0.000400207,0.000400207
40,30732.7,1.43599,1.25404,1.36817,0.63335,0.41101,0.44239,0.20854,1.90814,1.85353,1.69682,0.00036687,0.00036687,0.00036687
41,31413.7,1.43316,1.28162,1.40146,0.60978,0.40838,0.44134,0.20118,1.9336,1.90914,1.74589,0.000333533,0.000333533,0.000333533
42,32105.4,1.41436,1.23157,1.40228,0.59553,0.42432,0.44465,0.21134,1.89305,1.84977,1.69369,0.000300197,0.000300197,0.000300197
43,32798.9,1.39535,1.21075,1.37271,0.60368,0.4091,0.4448,0.21191,1.86132,1.84025,1.692,0.00026686,0.00026686,0.00026686
44,33493.2,1.40247,1.20116,1.37985,0.60544,0.43435,0.46075,0.22079,1.84966,1.82107,1.6892,0.000233523,0.000233523,0.000233523
45,34171.1,1.38756,1.20333,1.38912,0.59873,0.42941,0.4616,0.2225,1.85366,1.81087,1.68589,0.000200187,0.000200187,0.000200187
46,34854.6,1.38304,1.18273,1.37572,0.64315,0.41148,0.46049,0.22335,1.84872,1.83675,1.68366,0.00016685,0.00016685,0.00016685
47,35571.9,1.3637,1.17066,1.35619,0.56946,0.44717,0.46367,0.22226,1.86914,1.81523,1.69489,0.000133513,0.000133513,0.000133513
48,36379,1.35503,1.14306,1.34897,0.59641,0.43383,0.45829,0.22096,1.87091,1.8433,1.69102,0.000100177,0.000100177,0.000100177
49,37722.6,1.36014,1.13111,1.35171,0.61076,0.40603,0.45239,0.21482,1.89359,1.87626,1.71735,6.684e-05,6.684e-05,6.684e-05
50,38565.6,1.36307,1.13346,1.35607,0.59805,0.42753,0.4596,0.22239,1.86916,1.83479,1.6987,3.35034e-05,3.35034e-05,3.35034e-05
